# airline	from	to	codeshare	stops	equipment
# Date: 2012-10-14
3U	NNG	CGK		0	320
3U	NNG	CTU		0	320 321
3U	NNG	SGN		0	320
3U	NNG	WUH		0	321
3U	NTG	WUH		0	319
3U	PEK	CKG		0	319 320
3U	PEK	CTU		0	321 320 330 319
3U	PEK	WXN		0	320
3U	PEK	ZHY		0	320
3U	PVG	CKG		0	321 319
3U	PVG	CTU		0	330 321
3U	PVG	JIU		0	319
3U	PVG	SPN		0	330
3U	RMQ	CTU		0	321
3U	SGN	NNG		0	320
3U	SHE	CTU		0	330
3U	SHE	DSN		0	320
3U	SHE	TYN		0	320
3U	SHE	YVR		0	330
3U	SJW	CKG		0	320
3U	SJW	CTU		0	319
3U	SJW	HRB		0	321
3U	SJW	YNT		0	320
3U	SPN	CAN		0	330
3U	SPN	PVG		0	330
3U	SYX	CKG		0	320
3U	SYX	CTU		0	320
3U	SYX	KWE		0	319
3U	SYX	KWL		0	320
3U	SYX	MIG		0	320
3U	SYX	TNA		0	320
3U	SYX	WNZ		0	320
3U	SYX	ZUH		0	320
3U	SZX	CKG		0	321
3U	SZX	CTU		0	321 320
3U	TAO	CTU		0	321
3U	TNA	CGQ		0	320
3U	TNA	CKG		0	320 319
3U	TNA	CTU		0	321
3U	TNA	DLC		0	321
3U	TNA	HRB		0	321
3U	TNA	KMG		0	320
3U	TNA	SYX		0	320
3U	TNA	XIY		0	319
3U	TPE	KMG		0	320
3U	TSA	CKG		0	320
3U	TSA	CTU		0	321
3U	TSN	CGQ		0	320
3U	TSN	CKG		0	320 321
3U	TSN	CTU		0	321
3U	TYN	CKG		0	320
3U	TYN	CTU		0	320
3U	TYN	HRB		0	321
3U	TYN	KWL		0	321
3U	TYN	SHE		0	320
3U	URC	CGO		0	320
3U	URC	CKG		0	320
3U	URC	CTU		0	319 320
3U	URC	KHG		0	319
3U	URC	XIY		0	319
3U	URC	YIN		0	319
3U	UYN	XIY		0	319
3U	WNZ	CKG		0	319
3U	WNZ	CTU		0	321 319
3U	WNZ	HRB		0	320
3U	WNZ	KWE		0	320
3U	WNZ	SYX		0	320
3U	WUH	CKG		0	320
3U	WUH	CTU		0	319
3U	WUH	HRB		0	321
3U	WUH	JJN		0	320
3U	WUH	NNG		0	321
3U	WUH	NTG		0	319
3U	WUX	CKG		0	320
3U	WUX	CTU		0	320
3U	WXN	KMG		0	320
3U	WXN	PEK		0	320
3U	XIC	CTU		0	320
3U	XIY	CKG		0	320
3U	XIY	CTU		0	319 320
3U	XIY	JZH		0	319
3U	XIY	LXA		0	319
3U	XIY	LYI		0	320
